mask,landmark,x,y,z
orig,medial,129.50191485881805,-30.420025944709778,-254.5
orig,lateral,221.63085901737213,-26.943462014198303,-216.5
expand_2mm,medial,129.50191485881805,-29.55088496208191,-260.5
expand_2mm,lateral,221.63085901737213,-26.074321031570435,-222.5
expand_4mm,medial,129.50191485881805,-28.68174397945404,-264.5
expand_4mm,lateral,221.63085901737213,-25.205180048942566,-226.5
rand1,medial,129.50191485881805,-30.420025944709778,-254.5
rand1,lateral,221.63085901737213,-26.943462014198303,-216.5
rand2,medial,129.50191485881805,-30.420025944709778,-256.5
rand2,lateral,221.63085901737213,-26.943462014198303,-218.5
